Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
03/24/22,170.83,4223466,6.67,4.06,4.06,170.83,-4.00,164.81,171.00,162.67,-4.00
03/23/22,164.16,2814305,-2.28,-1.37,-1.37,164.16,-7.75,163.64,166.89,162.88,-7.75
03/22/22,166.44,4099851,4.64,2.87,2.87,166.44,-6.47,163.61,168.18,162.00,-6.47
03/21/22,161.80,4584370,-5.20,-3.11,-3.11,161.80,-9.08,164.57,165.95,159.00,-9.08
03/18/22,167.00,8467518,9.45,6.00,6.00,167.00,-6.15,156.07,167.18,155.70,-6.15
03/17/22,157.55,5031682,1.80,1.16,1.16,157.55,-11.46,153.79,157.60,151.05,-11.46
03/16/22,155.75,7105370,11.80,8.20,8.20,155.75,-12.48,148.15,156.98,146.31,-12.48
03/15/22,143.95,5488743,5.45,3.94,3.94,143.95,-19.11,140.00,144.73,138.32,-19.11
03/14/22,138.50,6330206,-6.64,-4.57,-4.57,138.50,-22.17,143.41,144.67,136.04,-22.17
03/11/22,145.14,4577255,-6.66,-4.39,-4.39,145.14,-18.44,154.13,155.00,145.00,-18.44
03/10/22,151.80,5302511,3.49,2.35,2.35,151.80,-14.70,145.22,152.89,144.41,-14.70
03/09/22,148.31,7023908,6.18,4.35,4.35,148.31,-16.66,145.43,150.99,145.33,-16.66
03/08/22,142.13,9586994,10.54,8.01,8.01,142.13,-20.13,131.63,144.47,131.50,-20.13
03/07/22,131.59,9177270,-11.11,-7.79,-7.79,131.59,-26.05,145.00,145.27,131.52,-26.05
03/04/22,142.70,8397063,-8.99,-5.93,-5.93,142.70,-19.81,150.77,151.89,140.46,-19.81
03/03/22,151.69,4045757,-5.84,-3.71,-3.71,151.69,-14.76,158.33,159.22,150.99,-14.76
03/02/22,157.53,5028250,6.52,4.32,4.32,157.53,-11.48,152.48,158.08,151.89,-11.48
03/01/22,151.01,5165768,-0.48,-0.32,-0.32,151.01,-15.14,150.53,154.22,149.95,-15.14
02/28/22,151.49,11078500,-3.60,-2.32,-2.32,151.49,-14.87,155.03,155.10,148.30,-14.87
02/25/22,155.09,6173207,-3.17,-2.00,-2.00,155.09,-12.85,159.26,159.45,152.91,-12.85
02/24/22,158.26,10354650,8.22,5.48,5.48,158.26,-11.06,141.30,158.96,141.18,-11.06
02/23/22,150.04,9778477,-15.20,-9.20,-9.20,150.04,-15.68,165.93,166.66,149.85,-15.68
02/22/22,165.24,8392599,-9.66,-5.52,-5.52,165.24,-7.14,172.13,176.38,161.32,-7.14
02/18/22,174.90,8848753,-8.70,-4.74,-4.74,174.90,-1.71,180.26,182.66,173.62,-1.71
02/17/22,183.60,7779201,-3.04,-1.63,-1.63,183.60,3.18,184.90,188.98,181.54,3.18
02/16/22,186.64,22252850,6.57,3.65,3.65,186.64,4.88,178.30,191.73,178.00,4.88
02/15/22,180.07,11733940,10.41,6.14,6.14,180.07,1.19,172.92,180.63,172.75,1.19
02/14/22,169.66,4847552,3.13,1.88,1.88,169.66,-4.66,166.63,171.80,165.03,-4.66
02/11/22,166.53,6464397,-5.42,-3.15,-3.15,166.53,-6.42,175.31,176.74,164.83,-6.42
02/10/22,171.95,8261379,2.42,1.43,1.43,171.95,-3.37,165.25,177.06,165.25,-3.37
02/09/22,169.53,4868311,7.27,4.48,4.48,169.53,-4.73,165.37,170.07,165.08,-4.73
02/08/22,162.26,4309070,4.35,2.75,2.75,162.26,-8.82,154.00,163.08,153.44,-8.82
02/07/22,157.91,4690668,2.35,1.51,1.51,157.91,-11.26,156.79,160.88,155.95,-11.26
02/04/22,155.56,4687701,5.99,4.00,4.00,155.56,-12.58,150.14,157.24,150.00,-12.58
02/03/22,149.57,4577057,-2.19,-1.44,-1.44,149.57,-15.95,147.97,152.18,146.68,-15.95
02/02/22,151.76,3678315,-5.18,-3.30,-3.30,151.76,-14.72,156.31,156.51,150.71,-14.72
02/01/22,156.94,3799303,2.97,1.93,1.93,156.94,-11.81,155.35,157.39,152.50,-11.81
01/31/22,153.97,5463016,11.20,7.84,7.84,153.97,-13.48,144.80,153.97,143.81,-13.48
01/28/22,142.77,5604415,4.36,3.15,3.15,142.77,-19.77,138.55,143.11,134.37,-19.77
01/27/22,138.41,4493776,-3.73,-2.62,-2.62,138.41,-22.22,143.48,145.55,137.92,-22.22
01/26/22,142.14,6990314,-2.42,-1.67,-1.67,142.14,-20.12,149.29,152.40,140.04,-20.12
01/25/22,144.56,5704888,-3.34,-2.26,-2.26,144.56,-18.76,143.90,147.38,140.13,-18.76
01/24/22,147.90,14627350,-8.83,-5.63,-5.63,147.90,-16.89,150.00,151.16,135.76,-16.89
01/21/22,156.73,7242250,-1.27,-0.80,-0.80,156.73,-11.92,156.82,160.20,152.41,-11.92
01/20/22,158.00,4941879,3.42,2.21,2.21,158.00,-11.21,157.81,165.20,157.35,-11.21
01/19/22,154.58,5127374,-0.11,-0.07,-0.07,154.58,-13.13,157.00,160.23,154.44,-13.13
01/18/22,154.69,5814071,-9.30,-5.67,-5.67,154.69,-13.07,156.91,160.79,153.87,-13.07
01/14/22,163.99,4144039,-2.01,-1.21,-1.21,163.99,-7.84,165.75,167.63,160.24,-7.84
01/13/22,166.00,4893757,-3.54,-2.09,-2.09,166.00,-6.72,170.23,171.99,165.77,-6.72
01/12/22,169.54,3534275,0.93,0.55,0.55,169.54,-4.73,170.24,171.04,165.11,-4.73
01/11/22,168.61,5331629,7.90,4.92,4.92,168.61,-5.25,160.71,169.39,159.08,-5.25
01/10/22,160.71,6973588,-5.34,-3.22,-3.22,160.71,-9.69,159.76,161.70,152.10,-9.69
01/07/22,166.05,5624579,6.30,3.94,3.94,166.05,-6.69,159.18,166.88,158.46,-6.69
01/06/22,159.75,5049594,-2.50,-1.54,-1.54,159.75,-10.23,160.29,163.73,156.34,-10.23
01/05/22,162.25,4804571,-8.55,-5.01,-5.01,162.25,-8.82,169.88,175.11,162.24,-8.82
01/04/22,170.80,4079976,-1.88,-1.09,-1.09,170.80,-4.02,174.15,175.90,167.20,-4.02
