Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
08/08/23,107.73,14065570,0.53,0.49,0.49,118.82,113.29,106.04,107.75,104.84,93.38
08/07/23,107.20,12410830,-0.22,-0.20,-0.20,118.24,112.24,107.90,108.42,106.51,92.43
08/04/23,107.42,14279630,0.30,0.28,0.28,118.48,112.67,107.96,109.24,107.33,92.82
08/03/23,107.12,16283110,1.83,1.74,1.74,118.15,112.08,105.89,107.88,105.30,92.28
08/02/23,105.29,13489810,-1.33,-1.25,-1.25,116.13,108.45,106.26,106.38,104.57,89.00
08/01/23,106.62,14212940,-0.62,-0.58,-0.58,117.60,111.09,106.95,107.32,105.53,91.38
07/31/23,107.24,24200300,3.08,2.96,2.96,118.28,112.32,105.19,107.86,105.19,92.50
07/28/23,104.16,17571680,-1.26,-1.20,-1.20,114.88,106.22,105.11,105.16,102.32,86.97
07/27/23,105.42,17677890,0.33,0.31,0.31,116.27,108.71,106.00,106.99,104.74,89.23
07/26/23,105.09,15159620,-0.59,-0.56,-0.56,115.91,108.06,105.11,105.72,104.64,88.64
07/25/23,105.68,14116080,0.16,0.15,0.15,116.56,109.23,105.06,106.09,104.54,89.70
07/24/23,105.52,15090860,1.63,1.57,1.57,116.38,108.91,104.36,106.16,103.96,89.41
07/21/23,103.89,17121490,0.48,0.46,0.46,114.59,105.68,104.16,104.38,103.26,86.48
07/20/23,103.41,15740200,1.79,1.76,1.76,114.06,104.73,102.54,103.66,102.36,85.62
07/19/23,101.62,15556540,0.70,0.69,0.69,112.08,101.19,101.05,102.40,100.80,82.41
07/18/23,100.92,24617800,-0.46,-0.45,-0.45,111.31,99.80,100.92,102.20,100.34,81.15
07/17/23,101.38,18055850,0.44,0.44,0.44,111.82,100.71,100.72,101.67,100.22,81.98
07/14/23,100.94,28181920,-3.60,-3.44,-3.44,111.33,99.84,104.05,104.05,100.53,81.19
07/13/23,104.54,26826840,-1.95,-1.83,-1.83,115.30,106.97,105.97,106.23,103.32,87.65
07/12/23,106.49,13238240,0.52,0.49,0.49,117.45,110.83,107.00,107.65,106.13,91.15
07/11/23,105.97,12581080,1.28,1.22,1.22,116.88,109.80,105.26,106.16,104.81,90.22
07/10/23,104.69,14877620,1.53,1.48,1.48,115.47,107.27,102.97,104.75,102.75,87.92
07/07/23,103.16,21929160,0.24,0.23,0.23,113.78,104.24,101.92,104.00,101.56,85.17
07/06/23,102.92,17964880,-3.99,-3.73,-3.73,113.52,103.76,105.09,105.72,102.43,84.74
07/05/23,106.91,12491210,-0.55,-0.51,-0.51,117.92,111.66,107.63,107.92,106.10,91.90
07/03/23,107.46,7396992,0.21,0.20,0.20,118.52,112.75,107.49,108.46,107.07,92.89
06/30/23,107.25,13544660,0.55,0.52,0.52,118.29,112.34,107.32,107.88,106.81,92.51
06/29/23,106.70,11364440,1.30,1.23,1.23,117.69,111.25,105.66,106.73,105.13,91.53
06/28/23,105.40,13084060,0.85,0.81,0.81,116.25,108.67,104.31,105.82,103.20,89.19
06/27/23,104.55,13227490,0.26,0.25,0.25,115.31,106.99,104.05,104.61,103.27,87.67
06/26/23,104.29,14283410,1.89,1.85,1.85,115.03,106.48,102.20,104.91,102.20,87.20
06/23/23,102.40,17933600,-0.90,-0.87,-0.87,112.94,102.73,102.59,102.82,101.62,83.81
06/22/23,103.30,12458810,-0.57,-0.55,-0.55,113.94,104.52,102.84,103.89,102.65,85.42
06/21/23,103.87,13285740,1.15,1.12,1.12,114.56,105.64,102.50,104.63,102.33,86.45
06/20/23,102.72,17519380,-2.41,-2.29,-2.29,113.30,103.37,104.68,104.77,102.12,84.38
06/16/23,105.13,43128870,-0.76,-0.72,-0.72,115.95,108.14,106.36,106.77,104.96,88.71
06/15/23,105.89,16224120,0.73,0.69,0.69,116.79,109.64,105.50,107.03,105.44,90.07
06/14/23,105.16,16627680,-1.28,-1.20,-1.20,115.99,108.20,107.45,108.11,104.39,88.76
06/13/23,106.44,13533780,0.02,0.02,0.02,117.40,110.73,107.38,108.34,106.28,91.06
06/12/23,106.42,14115160,-0.97,-0.90,-0.90,117.38,110.69,105.81,107.06,105.56,91.02
06/09/23,107.39,12252530,-0.80,-0.74,-0.74,118.45,112.61,108.46,108.61,107.16,92.77
06/08/23,108.19,13517920,-0.34,-0.31,-0.31,119.33,114.20,108.77,109.14,105.90,94.20
06/07/23,108.53,16027090,2.38,2.24,2.24,119.70,114.87,106.79,108.89,106.73,94.81
06/06/23,106.15,12209770,0.86,0.82,0.82,117.08,110.16,104.15,106.27,103.98,90.54
